id;phone_number;country_code;invitation_code;federation_id;active
1;XML deposit;PT;Lodge open-source;98978;false
2;Lesotho expedite global;MG;platforms Licensed;46293;true
3;Steel;MV;wireless innovative;2517;false
4;overriding;SC;seamless;56127;false
5;Applications;IN;Automotive invoice monitor;40526;false
6;lime;LA;web-enabled interface;57740;false
7;models bypassing;PH;Gloves Island Frozen;82674;false
8;hacking;BE;cyan redefine mesh;15170;false
9;Lead;MF;FTP Accounts virtual;57878;false
10;District Generic;CH;Dirham;83289;true
